2022-05-23 09:28:22,903 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-05-23 09:28:22,933 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-05-23 09:28:22,935 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2022-05-23 09:28:22,936 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2022-05-23 09:28:22,940 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-05-23 09:28:22,941 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-05-23 09:28:22,943 INFO  SwAddin.cs: 201 - Setting up command manager
2022-05-23 09:28:22,953 INFO  SwAddin.cs: 204 - Adding command manager
2022-05-23 09:28:22,958 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-05-23 09:28:22,960 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-05-23 09:28:22,961 INFO  SwAddin.cs: 210 - Adding event handlers
2022-05-23 09:28:22,965 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-05-23 10:02:39,775 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1
2022-05-23 10:02:39,796 INFO  SwAddin.cs: 299 - Save is required
2022-05-23 10:02:39,799 INFO  SwAddin.cs: 313 - Saving assembly
2022-05-23 10:02:39,802 INFO  SwAddin.cs: 316 - Opening property manager
2022-05-23 10:02:39,836 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2022-05-23 10:02:39,841 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Assem1
2022-05-23 10:02:39,845 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Assem1
2022-05-23 10:02:39,848 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-23 10:02:39,850 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-05-23 10:02:39,853 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from parcel-1
2022-05-23 10:02:39,855 INFO  ExportHelperExtension.cs: 1136 - Found 26 in parcel-1
2022-05-23 10:02:39,857 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in parcel-1
2022-05-23 10:02:39,859 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2022-05-23 10:02:39,860 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Assem1
2022-05-23 10:02:39,861 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem1
2022-05-23 10:02:39,864 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-23 10:02:39,865 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-05-23 10:02:39,866 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from parcel-1
2022-05-23 10:02:39,867 INFO  ExportHelperExtension.cs: 1136 - Found 26 in parcel-1
2022-05-23 10:02:39,868 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in parcel-1
2022-05-23 10:02:40,057 INFO  SwAddin.cs: 339 - Loading config tree
2022-05-23 10:02:40,063 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-05-23 10:02:40,068 INFO  SwAddin.cs: 344 - Showing property manager
2022-05-23 10:03:09,051 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-23 10:03:10,481 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-23 10:03:15,729 INFO  ExportPropertyManager.cs: 416 - Configuration canceled
2022-05-23 10:03:15,779 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-23 10:03:22,659 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1
2022-05-23 10:03:22,661 INFO  SwAddin.cs: 299 - Save is required
2022-05-23 10:03:22,663 INFO  SwAddin.cs: 313 - Saving assembly
2022-05-23 10:03:22,664 INFO  SwAddin.cs: 316 - Opening property manager
2022-05-23 10:03:22,665 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2022-05-23 10:03:22,672 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Assem1
2022-05-23 10:03:22,674 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Assem1
2022-05-23 10:03:22,675 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-23 10:03:22,677 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-05-23 10:03:22,678 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from parcel-1
2022-05-23 10:03:22,679 INFO  ExportHelperExtension.cs: 1136 - Found 26 in parcel-1
2022-05-23 10:03:22,680 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in parcel-1
2022-05-23 10:03:22,681 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2022-05-23 10:03:22,682 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Assem1
2022-05-23 10:03:22,684 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem1
2022-05-23 10:03:22,685 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-23 10:03:22,687 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-05-23 10:03:22,688 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from parcel-1
2022-05-23 10:03:22,689 INFO  ExportHelperExtension.cs: 1136 - Found 26 in parcel-1
2022-05-23 10:03:22,690 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in parcel-1
2022-05-23 10:03:22,734 INFO  SwAddin.cs: 339 - Loading config tree
2022-05-23 10:03:22,736 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-05-23 10:03:22,741 INFO  SwAddin.cs: 344 - Showing property manager
2022-05-23 10:03:28,481 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-23 10:08:05,489 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-05-23 10:08:05,928 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2022-05-23 10:08:05,931 INFO  ExportHelperExtension.cs: 1136 - Found 25 in Assem1
2022-05-23 10:08:05,933 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in Assem1
2022-05-23 10:08:05,934 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-23 10:08:05,937 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-05-23 10:08:05,939 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from parcel-1
2022-05-23 10:08:05,941 INFO  ExportHelperExtension.cs: 1136 - Found 26 in parcel-1
2022-05-23 10:08:05,942 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in parcel-1
2022-05-23 10:08:05,945 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2022-05-23 10:08:05,945 INFO  ExportHelperExtension.cs: 1136 - Found 25 in Assem1
2022-05-23 10:08:05,947 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Assem1
2022-05-23 10:08:05,949 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-05-23 10:08:05,950 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-05-23 10:08:05,951 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from parcel-1
2022-05-23 10:08:05,952 INFO  ExportHelperExtension.cs: 1136 - Found 26 in parcel-1
2022-05-23 10:08:05,953 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in parcel-1
2022-05-23 10:08:06,024 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-23 10:08:18,112 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
